"","Pin25307","Pin25708","Pin25825","Pin27584","Pin35790","Pin35791"
"Bradyrhizobium ottawaense",3672,7000,2750,10646,9808,5010
"Bradyrhizobium paxllaeri",11936,21298,10851,22014,20078,19236
"Bradyrhizobium quebecense",1879,3264,1391,4576,4311,2398
"Bradyrhizobium septentrionale",1885,3497,1520,5229,4584,2429
"Bradyrhizobium sp.",2191,4634,1380,5701,7888,2944
"Bradyrhizobium sp. 1(2017)",1468,2603,1228,3399,3311,1978
"Bradyrhizobium sp. 144S4",2302,4886,1641,6181,5921,2590
"Bradyrhizobium sp. 323S2",1429,3577,956,4035,4448,1836
"Bradyrhizobium sp. 41S5",1840,3102,1367,4092,3832,2107
"Bradyrhizobium sp. 6(2017)",2633,5237,1666,7459,6946,3088
"Bradyrhizobium sp. A19",2084,3755,1616,4842,4775,2725
"Bradyrhizobium sp. BTAi1",2095,3563,1687,4672,4587,2808
"Bradyrhizobium sp. CCBAU 051011",17841,31877,16274,33724,30888,28635
"Bradyrhizobium sp. CCBAU 21365",0,712,0,649,566,0
"Bradyrhizobium sp. CCBAU 51753",4163,7716,3018,10492,9616,5144
"Bradyrhizobium sp. CCBAU 51765",1506,2386,1074,3075,2880,1843
"Bradyrhizobium sp. CCBAU 53338",1624,2884,1305,3711,3739,2156
"Bradyrhizobium sp. CCBAU 53340",1604,2650,1236,3656,3699,2175
"Bradyrhizobium sp. CCBAU 53351",1658,2519,1311,3295,3298,1982
"Bradyrhizobium sp. CCBAU 53421",2200,3981,1640,5169,4980,2707
"Bradyrhizobium sp. CCGE-LA001",1078,1781,842,2169,2060,1369
"Bradyrhizobium sp. I71",1514,2413,1215,3152,2980,1849
"Bradyrhizobium sp. LCT2",926,1626,754,2521,2402,1219
"Bradyrhizobium sp. ORS 278",2036,3277,1649,4135,4145,2834
"Bradyrhizobium sp. ORS 285",2049,3249,1601,3994,4015,2685
"Bradyrhizobium sp. S2-11-2",4901,7971,5165,12064,11189,6914
"Bradyrhizobium sp. S2-11-4",4449,6853,4526,10220,9354,6321
"Bradyrhizobium sp. S2-20-1",4662,7884,4726,12213,10968,6610
"Bradyrhizobium sp. SG09",778,1427,626,1744,1827,1007
"Bradyrhizobium sp. SK17",3115,5599,2422,7087,6754,3985
"Bradyrhizobium sp. TM102",738,1073,459,1410,1474,864
"Bradyrhizobium symbiodeficiens",1360,2279,1101,2820,2893,1945
"Bradyrhizobium vignae",1339,2056,911,2701,2774,1532
"Bradyrhizobium zhanjiangense",1349,2304,1054,3428,3332,1809
"Nitrobacter hamburgensis",2225,1928,1342,2999,3701,1560
"Nitrobacter winogradskyi",906,1026,953,965,1150,734
"Rhodopseudomonas boonkerdii",659,915,644,1037,998,934
"Rhodopseudomonas palustris",4480,6162,3643,6813,6844,6106
"Rhodopseudomonas sp. SK50-23",669,902,605,1089,969,989
"Tardiphaga robiniae",755,819,560,1178,1049,898
"Tardiphaga sp. 37S4",731,887,533,1065,1038,755
"Tardiphaga sp. vice154",367,499,343,538,603,476
"Tardiphaga sp. vice278",746,1142,836,1481,1390,1026
"Tardiphaga sp. vice304",265,280,0,422,497,272
"Variibacter gotjawalensis",1173,1687,966,1469,1560,1499
"Breoghania sp. L-A4",514,571,641,615,614,710
"Brucella [Ochrobactrum] quorumnocens",143,81,69,87,88,104
"Brucella anthropi",457,363,374,433,422,517
"Brucella intermedia",140,163,149,183,186,182
"Brucella pituitosa",0,0,85,0,118,128
"Brucella pseudogrignonensis",223,218,139,205,151,227
"Brucella sp. BTU1",0,0,94,156,134,142
"Pseudochrobactrum algeriensis",0,50,0,0,45,0
"Pseudochrobactrum sp. Wa41.01b-1",0,52,0,0,50,54
"Pseudochrobactrum sp. XF203",0,53,0,74,47,56
"Chelatococcus daeguensis",549,662,665,604,583,803
"Chelatococcus sp. CO-6",990,953,1015,939,1035,1285
"Cohaesibacter sp. ES.047",105,130,121,133,121,147
"Devosia beringensis",364,239,385,262,256,399
"Devosia ginsengisoli",392,340,493,279,248,452
"Devosia oryziradicis",322,252,435,253,238,392
"Devosia rhizoryzae",203,243,288,226,173,259
"Devosia salina",415,298,405,301,292,388
"Devosia sp. 1566",310,228,318,231,234,313
"Devosia sp. A16",1180,755,1047,783,563,1205
"Devosia sp. I507",331,255,263,308,268,292
"Devosia sp. JXJ CY 41",398,315,483,270,224,464
"Devosia sp. MC521",169,136,134,102,122,150
"Devosia sp. SL43",444,333,598,255,280,686
"Maritalea myrionectae",32,49,48,38,62,59
"Paradevosia shaoguanensis",559,509,549,460,444,538
"Pelagibacterium halotolerans",229,223,250,240,302,290
"Youhaiella tibetensis",447,375,465,368,355,491
"Aquabacter sp. L1I39",526,583,467,599,608,696
"Caenibius sp. WL",119,110,145,114,91,128
"Caenibius tardaugens",315,259,323,262,286,260
"Filomicrobium Candidatus Filomicrobium marinum",217,270,251,248,224,281
"Hyphomicrobium denitrificans",1278,1581,1017,1410,1311,1353
"Hyphomicrobium nitrativorans",886,1035,888,669,608,1028
"Hyphomicrobium sp. MC1",565,658,486,633,637,723
"Methyloceanibacter caenitepidi",783,832,955,923,893,1035
"Methyloceanibacter sp. wino2",831,889,1028,928,1051,1106
"Methyloligella sp. GL2",1028,1203,1447,1310,1358,1663
"Rhodomicrobium vannielii",427,506,464,532,608,558
"Rhodoplanes sp. Z2-YC6860",8678,10024,6303,9237,9335,11526
"Kaistia sp. 32K",998,1043,1071,945,991,1280
"Lichenihabitans psoromatis",269,322,275,368,366,366
"Lichenihabitans sp. PAMC28606",250,267,251,301,397,307
"Methylobacterium aquaticum",1016,1293,1158,1106,1242,1364
"Methylobacterium brachiatum",519,723,634,535,634,820
"Methylobacterium currus",688,789,648,737,790,948
"Methylobacterium durans",712,969,701,744,734,893
"Methylobacterium indicum",438,535,493,413,490,592
"Methylobacterium mesophilicum",423,519,450,492,541,576
"Methylobacterium nodulans",997,1406,1061,1183,1223,1350
"Methylobacterium organophilum",775,927,721,784,742,895
"Methylobacterium oryzae",802,853,732,981,734,953
"Methylobacterium phyllosphaerae",294,318,258,372,267,459
"Methylobacterium radiodurans",608,766,628,540,641,700
"Methylobacterium radiotolerans",796,826,725,678,684,1065
"Methylobacterium sp. 17Sr1-1",491,562,549,443,444,683
"Methylobacterium sp. C1",375,565,539,422,541,439
"Methylobacterium sp. WL1",506,494,477,502,551,591
"Methylobacterium sp. XJLW",455,624,524,578,821,560
"Methylobacterium terrae",475,658,571,502,505,661
"Methylorubrum extorquens",1402,1860,1554,2184,1955,1634
"Methylorubrum populi",1034,1173,1013,1003,1057,1268
"Methylorubrum sp. B1-46",380,392,383,397,452,479
"Methylorubrum zatmanii",0,203,217,0,211,224
"Microvirga ossetica",2357,8713,1968,1883,1539,3012
"Microvirga sp. 17 mud 1-3",537,687,581,539,520,692
"Microvirga sp. VF16",923,1463,940,978,920,1194
"Microvirga thermotolerans",673,1000,796,691,696,970
"Methylocystis bryophila",413,415,374,524,562,471
"Methylocystis heyeri",367,427,350,532,574,462
"Methylocystis parvus",382,466,321,571,568,504
"Methylocystis rosea",455,545,439,834,692,665
"Methylocystis sp. SB2",250,244,192,291,343,286
"Methylocystis sp. SC2",263,281,269,466,379,343
"Methylosinus sp. C49",409,500,421,650,625,609
"Methylosinus trichosporium",513,584,503,666,747,704
"Candidatus Phaeomarinobacter ectocarpi",126,114,111,124,113,133
"Kaustia mangrovi",813,968,878,793,820,1010
"Parvibaculum lavamentivorans",853,921,848,855,957,1133
"Pyruvatibacter mobilis",285,254,220,257,294,365
"Phreatobacter cathodiphilus",1033,1240,1061,987,1012,1456
"Phreatobacter sp. NMCR1094",740,858,701,797,867,1012
"Phreatobacter stygius",1124,1331,969,1287,1274,1542
"Aminobacter aminovorans",238,282,406,119,164,305
"Aminobacter sp. MDW-2",899,979,1196,1041,779,1298
"Aminobacter sp. MSH1",1061,1410,1542,965,782,1491
"Aminobacter sp. SR38",1416,1516,2120,799,1061,1577
"Aquibium microcysteis",880,1100,1344,707,726,1210
"Aquibium oceanicum",739,877,953,651,646,1011
"Hoeflea phototrophica",208,221,184,178,232,285
"Hoeflea sp. IMCC20628",229,224,199,222,281,286
"Mesorhizobium amorphae",1079,865,775,1010,852,1767
"Mesorhizobium australicum",365,446,401,336,409,484
"Mesorhizobium ciceri",777,900,890,805,737,1222
"Mesorhizobium erdmanii",362,397,420,426,398,556
"Mesorhizobium huakuii",736,1059,1131,1003,1055,1133
"Mesorhizobium japonicum",461,756,522,530,529,688
"Mesorhizobium loti",1135,1482,1504,1424,1376,1782
"Mesorhizobium opportunistum",385,546,448,473,406,646
"Mesorhizobium sp. 113-1-2",472,625,521,669,606,882
"Mesorhizobium sp. 113-3-3",460,704,538,487,487,762
"Mesorhizobium sp. 113-3-9",399,495,452,431,368,610
"Mesorhizobium sp. 131-2-1",919,1058,973,975,1214,1500
"Mesorhizobium sp. 131-2-5",204,343,310,340,350,382
"Mesorhizobium sp. 131-3-5",287,576,395,440,381,587
"Mesorhizobium sp. 8",852,1135,1202,695,622,1385
"Mesorhizobium sp. AA22",474,606,683,656,592,881
"Mesorhizobium sp. B1-1-8",606,814,770,719,645,964
"Mesorhizobium sp. B2-1-1",601,790,815,681,634,982
"Mesorhizobium sp. B2-1-8",406,543,532,485,564,679
"Mesorhizobium sp. B2-8-5",544,711,733,512,526,889
"Mesorhizobium sp. B4-1-4",469,549,492,534,502,676
"Mesorhizobium sp. DCY119",826,1182,1326,598,511,1466
"Mesorhizobium sp. INR15",816,943,878,825,691,1194
"Mesorhizobium sp. J8",520,694,694,544,546,900
"Mesorhizobium sp. L-2-11",793,930,1099,732,757,1622
"Mesorhizobium sp. L-8-10",984,1226,1597,978,1043,1664
"Mesorhizobium sp. L-8-3",1027,1327,1365,873,929,1571
"Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1",528,767,683,513,562,814
"Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1",730,872,908,667,688,1190
"Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1",759,1047,975,698,740,1237
"Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1",726,1075,1103,776,767,1326
"Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1",401,680,582,514,516,803
"Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1",444,596,498,389,422,686
"Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1",586,678,734,483,541,865
"Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1",660,784,898,571,635,1020
"Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1",650,829,747,750,816,1113
"Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1",745,889,841,707,919,1236
"Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1",442,618,490,505,402,686
"Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1",674,805,576,976,782,1172
"Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1",472,603,551,552,487,665
"Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2",806,1131,954,1014,984,1456
"Mesorhizobium sp. NBSH29",325,393,485,222,230,484
"Mesorhizobium sp. NZP2077",602,694,548,993,930,843
"Mesorhizobium sp. NZP2234",194,194,191,170,178,384
"Mesorhizobium sp. NZP2298",337,457,436,423,416,539
"Mesorhizobium sp. PAMC28654",686,901,743,806,841,1054
"Mesorhizobium sp. Pch-S",552,792,781,482,464,982
"Mesorhizobium sp. WSM1497",346,452,479,331,364,486
"Mesorhizobium terrae",650,854,1060,605,488,1068
"Nitratireductor kimnyeongensis",163,183,237,189,197,246
"Nitratireductor sp. OM-1",267,325,333,278,261,363
"Nitratireductor sp. SY7",542,741,672,502,572,832
"Oricola thermophila",345,362,457,317,313,443
"Phyllobacterium sp. 628",133,172,149,164,180,294
"Phyllobacterium sp. T1018",193,298,262,307,250,632
"Phyllobacterium sp. T1293",104,132,120,144,142,277
"Phyllobacterium zundukense",344,517,524,398,368,1459
"Roseitalea porphyridii",389,442,491,426,374,581
"Salaquimonas pukyongi",161,170,164,158,153,175
"Hartmannibacter diazotrophicus",577,657,532,564,576,691
"Agrobacterium fabacearum",0,0,0,0,0,267
"Agrobacterium fabrum",193,184,224,244,248,249
"Agrobacterium larrymoorei",166,129,157,103,161,212
"Agrobacterium rhizogenes",298,366,337,333,376,438
"Agrobacterium rubi",211,163,177,165,196,242
"Agrobacterium salinitolerans",107,88,125,108,107,120
"Agrobacterium sp. CGMCC 11546",61,70,68,67,0,68
"Agrobacterium sp. MA01",66,76,112,131,120,141
"Agrobacterium sp. RAC06",130,151,118,121,95,162
"Agrobacterium sp. T29",89,69,65,89,87,104
"Agrobacterium tumefaciens",1482,1726,1615,1611,1569,1788
"Agrobacterium vaccinii",207,193,240,201,185,334
"Agrobacterium vitis",523,537,509,635,631,696
"Ciceribacter thiooxidans",337,350,401,271,286,375
"Ensifer adhaerens",1357,1545,1523,1141,1150,2176
"Ensifer alkalisoli",355,434,428,349,356,519
"Ensifer mexicanus",392,536,486,573,529,673
"Ensifer sojae",385,445,521,418,391,541
"Ensifer sp. PDNC004",319,386,376,310,317,457
"Ensifer sp. T173",408,689,512,254,310,837
"Georhizobium profundi",313,348,403,316,323,477
"Neorhizobium galegae",776,917,944,789,811,1268
"Neorhizobium sp. NCHU2750",310,307,294,269,281,394
"Neorhizobium sp. SOG26",226,205,258,226,232,321
"Peteryoungia desertarenae",120,99,101,117,140,155
"Pseudorhizobium banfieldiae",198,239,268,225,228,305
"Pseudorhizobium flavum",217,265,292,265,268,298
"Rhizobium acidisoli",102,167,180,149,172,167
"Rhizobium bangladeshense",222,242,286,279,281,354
"Rhizobium binae",198,201,205,259,251,295
"Rhizobium daejeonense",246,277,309,277,249,340
"Rhizobium etli",706,783,827,875,898,1219
"Rhizobium gallicum",473,519,653,560,609,757
"Rhizobium hidalgonense",115,133,135,150,161,144
"Rhizobium indicum",267,329,308,284,247,434
"Rhizobium jaguaris",363,445,369,481,520,557
"Rhizobium laguerreae",119,98,117,121,111,137
"Rhizobium leguminosarum",2882,3972,3093,3605,3320,4965
"Rhizobium lentis",216,243,243,237,268,324
"Rhizobium oryzihabitans",155,183,177,178,187,238
"Rhizobium phaseoli",550,835,623,685,735,839
"Rhizobium pseudoryzae",335,338,316,291,272,362
"Rhizobium pusense",522,635,725,544,532,762
"Rhizobium rhizoryzae",178,217,184,190,259,197
"Rhizobium rosettiformans",252,315,342,222,276,427
"Rhizobium ruizarguesonis",608,1002,588,1021,922,1265
"Rhizobium sp. 007",292,330,334,384,384,507
"Rhizobium sp. 11515TR",228,253,223,269,283,299
"Rhizobium sp. AB2/73",321,420,342,408,341,414
"Rhizobium sp. ACO-34A",263,273,256,265,305,319
"Rhizobium sp. B230/85",0,480,495,442,239,559
"Rhizobium sp. BG4",347,443,472,341,357,572
"Rhizobium sp. C104",237,274,210,273,267,324
"Rhizobium sp. CCGE531",0,0,0,0,700,0
"Rhizobium sp. CIAT894",231,269,229,204,264,279
"Rhizobium sp. IE4771",138,179,177,113,119,162
"Rhizobium sp. K102",167,254,247,189,151,306
"Rhizobium sp. Kim5",194,185,141,190,163,283
"Rhizobium sp. L51/94",507,360,326,359,273,447
"Rhizobium sp. NIBRBAC000502774",0,0,0,0,129,144
"Rhizobium sp. NLR16a",213,221,213,237,194,269
"Rhizobium sp. NXC14",218,210,246,218,232,287
"Rhizobium sp. NXC24",301,296,310,332,368,459
"Rhizobium sp. NZLR1",230,270,218,249,280,357
"Rhizobium sp. SL42",248,209,344,251,222,360
"Rhizobium sp. T136",864,0,720,0,0,0
"Rhizobium sp. TAL182",200,152,157,170,152,252
"Rhizobium sp. WL3",234,260,255,239,285,299
"Rhizobium sp. WYJ-E13",341,619,344,331,356,530
"Rhizobium sp. X9",244,259,300,252,195,417
"Rhizobium sp. Y9",0,106,0,0,0,86
"Rhizobium sp. ZX09",0,0,0,0,148,0
"Rhizobium tropici",275,265,269,271,240,295
"Shinella sp. H4-D48",254,287,286,227,233,266
"Shinella sp. HZN7",860,783,970,695,663,1000
"Shinella sp. PSBB067",534,675,823,429,611,760
"Shinella sp. XGS7",808,486,895,442,645,1104
"Shinella zoogloeoides",503,532,627,482,488,763
"Sinorhizobium americanum",374,446,474,419,413,545
"Sinorhizobium fredii",1778,2212,2469,1769,1741,2575
"Sinorhizobium medicae",239,304,381,254,253,406
"Sinorhizobium meliloti",724,886,938,1044,1616,1041
"Sinorhizobium sp. BG8",323,370,404,349,376,433
"Sinorhizobium sp. CCBAU 05631",130,144,196,189,165,228
"Labrenzia sp. PHM005",123,126,96,122,103,154
"Labrenzia sp. THAF82",127,106,93,129,138,111
"Labrenzia sp. VG12",227,288,219,218,281,330
"Pannonibacter phragmitetus",1080,1092,1123,917,990,1141
"Pseudovibrio brasiliensis",45,35,48,41,36,42
"Pseudovibrio sp. FO-BEG1",49,50,47,70,56,72
"Roseibium aggregatum",496,474,532,475,521,671
"Roseibium alexandrii",116,143,108,154,143,142
"Stappia indica",649,744,835,628,758,970
"Stappia sp. ES.058",364,405,364,348,416,496
"Ancylobacter pratisalsi",542,674,563,711,691,710
"Ancylobacter sp. TS-1",867,990,885,894,972,993
"Azorhizobium caulinodans",661,721,635,712,698,849
"Labrys sp. KNU-23",680,768,620,760,896,871
"Pseudolabrys sp. FHR47",2411,2998,1555,3254,4188,3605
"Pseudolabrys taiwanensis",3586,4501,2007,5099,6561,5090
"Starkeya novella",953,1244,1004,1121,1069,1443
"Starkeya sp. ORNL1",1123,1281,1099,1270,1375,1681
"Xanthobacter autotrophicus",459,543,453,556,591,674
"Xanthobacter dioxanivorans",1225,1382,1374,1242,1278,1575
"Xanthobacter sp. YC-JY1",507,514,461,496,531,594
"Candidatus Viadribacter manganicus",515,225,332,156,131,256
"Hyphomonas neptunium",122,110,111,104,92,118
"Hyphomonas sp. CACIAM 19H1",120,105,106,114,102,120
"Hyphomonas sp. KY3",77,61,81,85,61,94
"Hyphomonas sp. Mor2",66,46,82,55,53,74
"Magnetococcus marinus",0,0,24,30,33,31
"Glycocaulis alkaliphilus",77,81,114,93,85,153
"Hyphobacterium sp. CCMP332",62,69,77,84,97,94
"Maricaulis maris",114,96,107,90,111,121
"Marinicauda algicola",350,307,398,319,322,432
"Aquisalinus flavus",113,86,95,113,139,112
"Parvularcula bermudensis",64,96,73,92,66,74
"Aestuarium zhoushanense",63,68,87,72,40,71
"Brevirhabdus pacifica",215,350,566,197,232,335
"Cereibacter azotoformans",342,330,951,233,197,419
"Cereibacter sphaeroides",749,888,1678,570,595,977
"Cognatishimia activa",37,47,40,35,36,45
"Falsirhodobacter sp. PG104",120,136,227,75,102,179
"Frigidibacter mobilis",408,410,805,294,267,450
"Fuscovulum blasticum",158,129,229,101,117,258
"Gemmobacter aquarius",189,191,310,142,162,238
"Haematobacter massiliensis",400,294,621,241,257,410
"Monaibacterium sp. ALG8",154,127,273,143,151,170
"Pacificitalea manganoxidans",130,127,180,109,108,162
"Paracoccus aminophilus",158,183,187,104,113,160
"Paracoccus aminovorans",219,229,469,143,181,282
"Paracoccus contaminans",191,180,447,157,175,227
"Paracoccus denitrificans",257,296,485,214,236,322
"Paracoccus jeotgali",198,170,407,134,195,256
"Paracoccus kondratievae",93,111,200,58,80,137
"Paracoccus liaowanqingii",187,163,415,168,165,211
"Paracoccus marcusii",90,93,197,70,107,122
"Paracoccus mutanolyticus",144,104,218,123,167,145
"Paracoccus pantotrophus",199,247,533,242,195,344
"Paracoccus sanguinis",326,423,977,265,257,508
"Paracoccus sp. AK26",126,152,298,112,126,184
"Paracoccus sp. Arc7-R13",102,141,258,109,82,135
"Paracoccus sp. H4-D09",125,138,193,107,139,193
"Paracoccus sp. MA",196,224,470,153,178,294
"Paracoccus sp. MC1862",212,245,547,162,170,352
"Paracoccus sp. S8-55",107,104,209,80,89,100
"Paracoccus suum",211,247,467,154,162,254
"Paracoccus tegillarcae",103,95,200,80,86,120
"Paracoccus yeei",523,675,1376,415,477,791
"Paracoccus zhejiangensis",233,234,564,183,171,284
"Parasedimentitalea marina",39,50,51,38,27,46
"Paroceanicella profunda",667,724,1684,438,461,973
"Pelagovum pacificum",231,287,546,171,193,312
"Pikeienuella piscinae",381,422,747,319,318,477
"Planktomarina temperata",0,25,30,22,22,27
"Polymorphum gilvum",574,643,780,544,533,723
"Pontivivens ytuae",319,377,882,190,222,412
"Profundibacter amoris",45,59,80,53,50,68
"Pseudohalocynthiibacter aestuariivivens",93,67,148,60,69,76
"Pseudooceanicola algae",91,107,176,94,97,137
"Pseudopuniceibacterium antarcticum",123,122,172,90,105,177
"Pseudorhodobacter turbinis",44,46,54,37,44,87
"Pukyongiella litopenaei",209,251,397,222,224,267
"Qingshengfaniella alkalisoli",76,65,149,74,75,87
"Rhodobaca barguzinensis",46,64,89,46,59,59
"Rhodobacter capsulatus",270,267,482,206,247,342
"Rhodobacter sp. CZR27",330,428,944,230,249,506
"Rhodobacter sp. LPB0142",393,507,816,304,308,544
"Rhodobacter sp. N10",267,258,534,188,173,335
"Rhodophyticola sp. CCM32",54,71,95,59,79,88
"Rhodovulum sp. MB263",155,147,300,114,125,161
"Rhodovulum sp. P5",126,126,239,105,136,213
"Rhodovulum sulfidophilum",311,266,585,195,223,405
"Roseicitreum antarcticum",89,100,162,72,90,157
"Silicimonas algicola",226,289,603,175,166,342
"Tabrizicola piscis",167,153,339,103,104,309
"Thioclava electrotropha",141,129,228,107,123,191
"Thioclava nitratireducens",162,179,247,172,167,219
"Tritonibacter mobilis",113,110,158,106,100,160
"Yoonia vestfoldensis",94,84,108,53,79,120
"Actibacterium sp. EMB200-NS6",232,236,377,225,215,261
"Antarctobacter heliothermus",87,83,109,71,63,113
"Celeribacter baekdonensis",52,63,88,45,67,92
"Celeribacter ethanolicus",141,159,206,90,145,172
"Celeribacter indicus",381,408,718,317,324,426
"Celeribacter marinus",30,31,37,33,26,46
"Dinoroseobacter shibae",182,258,508,191,209,283
"Falsihalocynthiibacter arcticus",25,0,36,33,43,27
"Jannaschia sp. CCS1",87,99,140,62,84,111
"Jannaschia sp. J12C1-MA-4",121,188,242,106,122,161
"Ketogulonicigenium robustum",75,63,73,52,57,100
"Ketogulonicigenium vulgare",93,77,114,77,69,98
"Leisingera aquaemixtae",127,137,195,120,128,140
"Leisingera methylohalidivorans",96,115,202,70,69,138
"Leisingera sp. NJS201",0,109,97,0,0,56
"Leisingera sp. NJS204",88,0,106,0,69,110
"Mameliella alba",174,199,339,175,176,258
"Maribius sp. THAF1",83,86,228,78,106,127
"Oceanicola sp. D3",132,134,194,109,81,193
"Octadecabacter antarcticus",32,29,40,48,43,54
"Octadecabacter arcticus",43,47,54,83,68,65
"Octadecabacter sp. SW4",67,58,105,47,82,93
"Octadecabacter temperatus",0,21,23,0,31,0
"Phaeobacter gallaeciensis",219,217,250,150,159,1298
"Phaeobacter inhibens",134,169,252,131,153,154
"Phaeobacter piscinae",82,58,107,70,74,77
"Phaeobacter porticola",36,55,67,35,62,32
"Roseibacterium elongatum",115,115,213,96,110,157
"Roseivivax marinus",262,291,532,223,211,402
"Roseivivax sp. THAF30",261,292,483,253,242,369
"Roseobacter denitrificans",58,59,63,51,37,76
"Roseobacter litoralis",47,54,59,53,49,63
"Roseobacter ponti",89,61,84,58,64,95
"Roseovarius faecimaris",93,126,160,89,103,128
"Roseovarius indicus",352,378,621,311,288,503
"Roseovarius mucosus",0,0,119,0,82,0
"Roseovarius sp. SCSIO 43702",175,200,355,154,133,228
"Roseovarius sp. THAF27",101,100,148,95,83,78
"Roseovarius sp. THAF8",99,114,223,88,92,144
"Roseovarius sp. THAF9",163,135,233,159,108,170
"Roseovarius sp. TM1035",0,100,79,0,76,110
"Ruegeria pomeroyi",118,146,220,122,114,152
"Ruegeria sp. AD91A",38,40,31,42,0,36
"Ruegeria sp. SCSIO 43209",37,46,76,36,58,76
"Ruegeria sp. THAF33",52,62,93,57,67,76
"Ruegeria sp. TM1040",41,78,92,44,47,81
"Sagittula sp. P11",375,458,709,287,283,515
"Salipiger abyssi",346,348,599,282,319,455
"Salipiger profundus",379,457,952,303,305,499
"Salipiger sp. CCB-MM3",177,209,330,155,144,263
"Sulfitobacter alexandrii",299,226,462,201,194,316
"Sulfitobacter mediterraneus",82,76,113,99,91,97
"Sulfitobacter pseudonitzschiae",247,279,405,235,260,348
"Sulfitobacter sp. BSw21498",49,29,71,0,51,48
"Sulfitobacter sp. CB2047",0,0,0,0,0,88
"Sulfitobacter sp. D7",89,75,159,85,80,110
"Sulfitobacter sp. JK7-1",91,104,168,82,112,122
"Sulfitobacter sp. JL08",56,61,67,56,66,83
"Sulfitobacter sp. SK011",43,35,64,53,50,48
"Sulfitobacter sp. SK012",33,28,47,40,37,30
"Sulfitobacter sp. THAF37",174,201,325,194,186,226
"Tateyamaria omphalii",101,74,116,60,67,92
"Thalassobius gelatinovorus",44,67,85,52,59,70
"Thalassococcus sp. S3",83,75,117,62,72,107
"Yangia pacifica",287,288,542,191,196,314
"Acetobacter aceti",240,193,176,275,341,260
"Acetobacter ghanensis",37,33,0,32,39,52
"Acetobacter persici",42,42,40,63,65,42
"Acetobacter sp. KACC 21233",37,44,42,45,83,40
"Acidibrevibacterium fodinaquatile",398,410,335,659,753,505
"Acidiphilium cryptum",250,370,328,494,583,341
"Acidiphilium multivorum",767,770,725,1207,1691,727
"Asaia bogorensis",96,128,98,136,179,114
"Gluconacetobacter diazotrophicus",235,210,205,306,350,305
"Gluconobacter albidus",46,41,53,28,67,67
"Gluconobacter frateurii",0,25,0,29,25,26
"Gluconobacter oxydans",142,130,121,142,213,166
"Gluconobacter sphaericus",33,29,41,34,46,40
"Granulibacter bethesdensis",188,159,164,284,306,190
"Komagataeibacter europaeus",55,69,53,59,117,57
"Komagataeibacter medellinensis",103,60,58,99,156,114
"Komagataeibacter nataicola",57,54,31,61,77,74
"Komagataeibacter oboediens",62,43,64,42,46,63
"Komagataeibacter saccharivorans",139,112,100,100,143,111
"Komagataeibacter xylinus",382,344,344,493,650,497
"Kozakia baliensis",90,90,92,133,127,105
"Lichenicola cladoniae",341,350,307,443,588,356
"Neoasaia chiangmaiensis",118,119,82,121,137,128
"Neokomagataea tanensis",0,0,0,23,30,0
"Novacetimonas hansenii",73,74,70,119,99,96
"Oecophyllibacter saccharovorans",50,46,43,45,87,44
"Parasaccharibacter apium",28,38,23,28,41,28
"Roseococcus microcysteis",386,344,435,373,478,497
"Roseomonas gilardii",320,316,350,319,410,410
"Roseomonas haemaphysalidis",403,420,466,443,571,518
"Roseomonas marmotae",333,325,348,437,473,443
"Roseomonas mucosa",409,453,453,517,595,409
"Roseomonas sp. FDAARGOS_362",216,248,282,282,308,389
"Roseomonas sp. OT10",685,729,881,801,978,1050
"Swingsia sp. F3b2",0,0,0,32,0,36
"Azospirillum baldaniorum",281,316,348,297,337,361
"Azospirillum brasilense",1480,1481,1649,1516,1691,2013
"Azospirillum humicireducens",266,257,221,268,235,317
"Azospirillum lipoferum",253,242,291,223,237,364
"Azospirillum oryzae",293,293,307,333,344,378
"Azospirillum ramasamyi",255,258,264,266,289,361
"Azospirillum sp. B510",376,353,384,339,370,496
"Azospirillum sp. TSA2s",399,403,406,379,447,496
"Azospirillum sp. TSH100",318,288,274,308,320,423
"Azospirillum sp. TSH58",322,323,333,287,354,450
"Azospirillum thermophilum",632,719,686,636,609,896
"Azospirillum thiophilum",429,447,441,379,384,504
"Indioceanicola profundi",339,276,346,310,326,430
"Nitrospirillum amazonense",479,382,420,444,486,621
"Niveispirillum cyanobacteriorum",192,195,216,176,201,273
"Skermanella mucosa",658,910,727,539,489,933
"Skermanella pratensis",498,640,512,360,424,652
"Skermanella rosea",554,639,586,495,518,690
"Skermanella sp. TT6",1084,1273,1047,846,953,1336
"Elioraea tepida",465,450,475,483,555,610
