"","Total Number of reads for each species across all samples"
"Pedobacter steynii",230
"Pedobacter suwonensis",155
"Pseudopedobacter saltans",89
"Solitalea canadensis",195
"Solitalea sp. S2-8",194
"Sphingobacterium sp. DR205",37
"Sphingobacterium sp. SRCM116780",26
"Sphingobacterium sp. UDSM-2020",176
"Sphingobacterium spiritivorum",451
"Caldithrix abyssi",190
"Candidatus Babela massiliensis",20
"Candidatus Protochlamydia naegleriophila",37
"Neochlamydia sp. S13",25
"Parachlamydia acanthamoebae",84
"Chlorobaculum limnaeum",534
"Chlorobaculum parvum",284
"Chlorobaculum tepidum",255
"Chlorobium limicola",75
"Pelodictyon luteolum",214
"Prosthecochloris aestuarii",31
"Prosthecochloris sp. GSB1",206
"Anaerolinea thermophila",329
"Brevefilum fermentans",72
"Pelolinea submarina",276
"Candidatus Promineofilum breve",1736
"Caldilinea aerophila",816
"Phototrophicus methaneseepsis",180
"Chloroflexus aggregans",240
"Chloroflexus aurantiacus",269
"Roseiflexus castenholzii",758
"Roseiflexus sp. RS-1",802
"Ktedonosporobacter rubrisoli",337
"Thermobaculum terrenum",294
"Tepidiforma bonchosmolovskayae",1793
"Sphaerobacter thermophilus",2475
"Thermomicrobium roseum",592
"Desulfurispirillum indicum",111
"Chroococcidiopsis thermalis",26
"Anthocerotibacter panamensis",155
"Gloeobacter kilaueensis",552
"Gloeobacter morelensis",496
"Gloeobacter violaceus",515
"Deinococcus actinosclerus",931
"Deinococcus deserti",229
"Deinococcus ficus",552
"Deinococcus geothermalis",468
"Deinococcus gobiensis",623
"Deinococcus irradiatisoli",479
"Deinococcus maricopensis",722
"Deinococcus metallilatus",680
"Deinococcus peraridilitoris",443
"Deinococcus proteolyticus",306
"Deinococcus psychrotolerans",247
"Deinococcus puniceus",104
"Deinococcus radiodurans",468
"Deinococcus radiophilus",167
"Deinococcus radiopugnans",335
"Deinococcus soli (ex Cha et al. 2016)",575
"Deinococcus sp. AJ005",341
"Deinococcus sp. KNUC1210",369
"Deinococcus sp. NW-56",658
"Deinococcus sp. TS-293",450
"Deinococcus wulumuqiensis",581
"Marinithermus hydrothermalis",678
"Meiothermus ruber",287
"Meiothermus silvanus",441
"Meiothermus taiwanensis",292
"Oceanithermus profundus",1064
"Thermus aquaticus",176
"Thermus brockianus",158
"Thermus caldilimi",28
"Thermus oshimai",247
"Thermus sp. CCB_US3_UF1",181
"Thermus thermophilus",992
"Truepera radiovictrix",863
"Fibrobacter succinogenes",21
"Alicyclobacillus acidocaldarius",898
"Kyrpidia spormannii",140
"Tumebacillus algifaecis",306
"Tumebacillus avium",739
"Anoxybacillus sediminis",603
"Bacillus [Brevibacterium] frigoritolerans",932
"Bacillus aquiflavi",29
"Bacillus cereus",3788
"Bacillus dafuensis",123
"Bacillus glycinifermentans",39
"Bacillus infantis",31
"Bacillus methanolicus",36
"Bacillus mycoides",4579
"Bacillus pseudomycoides",31
"Bacillus pumilus",44
"Bacillus sp. 1NLA3E",545
"Bacillus sp. FJAT-18017",29
"Bacillus sp. FJAT-22090",91
"Bacillus sp. FJAT-42376",29
"Bacillus sp. NP157",795
"Bacillus sp. OxB-1",29
"Bacillus sp. S3",140
"Bacillus sp. Y1",90
"Bacillus subtilis",396
"Bacillus thuringiensis",90
"Caldalkalibacillus thermarum",32
"Cytobacillus ciccensis",194
"Cytobacillus kochii",56
"Cytobacillus oceanisediminis",88
"Geobacillus stearothermophilus",115
"Geobacillus subterraneus",806
"Halobacillus halophilus",24
"Heyndrickxia oleronia",40
"Heyndrickxia vini",28
"Hydrogenibacillus sp. N12",980
"Lederbergia lenta",32
"Lysinibacillus agricola",83
"Lysinibacillus parviboronicapiens",95
"Lysinibacillus sp. 2017",78
"Lysinibacillus sp. SGAir0095",47
"Lysinibacillus timonensis",39
"Mesobacillus foraminis",45
"Metabacillus dongyingensis",78
"Metabacillus sediminilitoris",231
"Metabacillus sp. KUDC1714",159
"Neobacillus drentensis",68
"Neobacillus mesonae",89
"Niallia circulans",54
"Oceanobacillus zhaokaii",114
"Parageobacillus caldoxylosilyticus",63
"Peribacillus asahii",468
"Peribacillus butanolivorans",505
"Peribacillus psychrosaccharolyticus",187
"Peribacillus simplex",790
"Pradoshia sp. D12",69
"Priestia flexa",32
"Priestia megaterium",1605
"Psychrobacillus glaciei",87
"Psychrobacillus sp. INOP01",199
"Salicibibacter cibi",23
"Salisediminibacterium selenitireducens",27
"Sutcliffiella horikoshii",34
"Weizmannia coagulans",281
"Brevibacillus agri",407
"Brevibacillus brevis",194
"Brevibacillus choshinensis",93
"Brevibacillus composti",385
"Brevibacillus marinus",409
"Brevibacillus sp. HD3.3A",254
"Brevibacillus sp. MMS20-4M-10-Y",117
"Cohnella candidum",480
"Cohnella cholangitidis",59
"Cohnella sp. LGH",385
"Cohnella sp. MFER-1",118
"Paenibacillus albicereus",1148
"Paenibacillus albus",114
"Paenibacillus algicola",24
"Paenibacillus antarcticus",159
"Paenibacillus azoreducens",32
"Paenibacillus beijingensis",261
"Paenibacillus borealis",46
"Paenibacillus cellulosilyticus",123
"Paenibacillus cellulositrophicus",264
"Paenibacillus chitinolyticus",265
"Paenibacillus dendritiformis",423
"Paenibacillus donghaensis",180
"Paenibacillus durus",182
"Paenibacillus ihbetae",213
"Paenibacillus lycopersici",567
"Paenibacillus macerans",305
"Paenibacillus mucilaginosus",703
"Paenibacillus naphthalenovorans",62
"Paenibacillus odorifer",64
"Paenibacillus physcomitrellae",55
"Paenibacillus protaetiae",30
"Paenibacillus psychroresistens",313
"Paenibacillus rhizovicinus",420
"Paenibacillus sabinae",179
"Paenibacillus sp. 32O-W",534
"Paenibacillus sp. B01",1394
"Paenibacillus sp. BIHB4019",162
"Paenibacillus sp. FSL H7-0357",155
"Paenibacillus sp. FSL H7-0737",86
"Paenibacillus sp. FSL R7-0273",41
"Paenibacillus sp. FSL R7-0331",83
"Paenibacillus sp. H1-7",181
"Paenibacillus sp. HWE-109",318
"Paenibacillus sp. JZ16",118
"Paenibacillus sp. R14(2021)",359
"Paenibacillus sp. RUD330",589
"Paenibacillus sp. sptzw28",98
"Paenibacillus sp. URB8-2",97
"Paenibacillus sp. YPD9-1",53
"Paenibacillus stellifer",269
"Paenibacillus thiaminolyticus",285
"Paenibacillus tianjinensis",31
"Paenibacillus tritici",97
"Paenibacillus xylanexedens",275
"Paenibacillus yonginensis",60
"Saccharibacillus brassicae",485
"Thermobacillus composti",818
"Exiguobacterium alkaliphilum",193
"Exiguobacterium sibiricum",40
"Solibacillus sp. R5-41",59
"Sporosarcina psychrophila",564
"Sporosarcina sp. Marseille-Q4063",589
"Sporosarcina sp. resist",720
"Sporosarcina sp. Te-1",26
"Sporosarcina ureae",172
"Sporosarcina ureilytica",36
"Viridibacillus sp. JNUCC-6",87
"Staphylococcus aureus",144
"Exiguobacterium mexicanum",49
"Kroppenstedtia eburnea",251
"Novibacillus thermophilus",137
"Polycladomyces abyssicola",101
"Staphylospora marina",267
"Thermoactinomyces vulgaris",131
"Limosilactobacillus fermentum",78
"Christensenella minuta",32
"Christensenella sp. Marseille-P3954",507
"Clostridium baratii",52
"Clostridium botulinum",77
"Clostridium estertheticum",255
"Clostridium gasigenes",217
"Clostridium perfringens",124
"Clostridium sp. C5S11",469
"Carboxydocella thermautotrophica",24
"Flintibacter sp. KGMB00164",59
"Intestinimonas butyriciproducens",324
"Thermaerobacter marianensis",984
"Thermaerobacter sp. FW80",1157
"Thermaerobacter sp. PB12/4term",863
"Heliomicrobium modesticaldum",537
"Caproicibacter fermentans",63
"Caproiciproducens sp. NJN-50",209
"Dysosmobacter sp. Marseille-Q4140",342
"Dysosmobacter welbionis",178
"Ethanoligenens harbinense",233
"Faecalibacterium prausnitzii",1657
"Flavonifractor plautii",508
"Oscillibacter sp. NSJ-62",162
"Ruthenibacterium lactatiformans",294
"Vescimonas coprocola",165
"Vescimonas fastidiosa",210
"Acididesulfobacillus acetoxydans",70
"Candidatus Desulforudis audaxviator",336
"Symbiobacterium thermophilum",1311
"Caloranaerobacter azorensis",34
"Iocasia fonsfrigidae",34
"Natranaerofaba carboxydovora",99
"Ammonifex degensii",202
"Carboxydothermus hydrogenoformans",50
"Gelria sp. Kuro-4",413
"Moorella glycerini",114
"Moorella thermoacetica",115
"Thermacetogenium phaeum",462
"Thermanaeromonas toyohensis",26
"Faecalibaculum rodentium",30
"Limnochorda pilosa",1198
"Acidaminococcus fermentans",24
"Phascolarctobacterium faecium",23
"Selenomonas sp. oral taxon 126",370
"Selenomonas sp. oral taxon 920",178
"Selenomonas sputigena",382
"Selenomonas timonae",185
"Pelosinus fermentans",32
"Pelosinus sp. UFO1",27
"Sporomusa termitida",48
"Megasphaera elsdenii",129
"Megasphaera stantonii",209
"Gemmatimonas aurantiaca",2083
"Gemmatimonas groenlandica",2967
"Gemmatimonas phototrophica",1797
"Gemmatirosa kalamazoonesis",11850
"Ignavibacterium album",24
"Kiritimatiella glycovorans",1293
"Tichowtungia aerotolerans",217
"Nitrospira Candidatus Nitrospira inopinata",1047
"Nitrospira japonica",1555
"Nitrospira moscoviensis",2653
"Nitrospira sp. KM1",1490
"Candidatus Kuenenia stuttgartiensis",123
"Mucisphaera calidilacus",800
"Phycisphaera mikurensis",1347
"Poriferisphaera corsica",75
"Anaerohalosphaera lusitana",157
"Limihaloglobus sulfuriphilus",28
"Humisphaera borealis",3509
"Frigoriglobus tundricola",8994
"Gemmata massiliana",4648
"Gemmata obscuriglobus",6775
"Gemmata sp. SH-PL17",4434
"Limnoglobus roseus",6087
"Telmatocola sphagniphila",918
"Tuwongella immobilis",922
"Urbifossiella limnaea",11758
"Aquisphaera giovannonii",9274
"Isosphaera pallida",852
"Paludisphaera borealis",8216
"Singulisphaera acidiphila",7153
"Tautonia plasticadhaerens",7133
"Adhaeretor mobilis",816
"Aeoliella mucimassa",1326
"Botrimarina mediterranea",2887
"Bythopirellula goksoeyrii",690
"Lacipirellula limnantheis",4749
"Lacipirellula parvula",4690
"Pirellulimonas nuda",3131
"Anatilimnocola aggregata",3123
"Aureliella helgolandensis",375
"Bremerella volcania",1517
"Lignipirellula cremea",2389
"Mariniblastus fucicola",374
"Pirellula sp. SH-Sr6A",358
"Pirellula staleyi",1346
"Rhodopirellula baltica",407
"Roseimaritima multifibrata",348
"Roseimaritima ulvae",1033
"Rosistilla carotiformis",594
"Rosistilla oblonga",853
"Rosistilla ulvae",590
"Rubripirellula lacrimiformis",637
"Stieleria maiorica",1194
"Stieleria neptunia",1077
"Thermogutta terrifontis",434
"Alienimonas californiensis",1535
"Calycomorphotria hydatis",532
"Caulifigura coniformis",2758
"Crateriforma conspicua",596
"Fuerstiella marisgermanici",513
"Gimesia alba",211
"Gimesia algae",290
"Gimesia aquarii",187
"Gimesia benthica",309
"Gimesia chilikensis",749
"Gimesia fumaroli",197
"Gimesia maris",355
"Gimesia panareensis",951
"Maioricimonas rarisocia",2328
"Planctomyces sp. SH-PL14",3173
"Planctomyces sp. SH-PL62",6077
"Planctopirus ephydatiae",453
"Planctopirus limnophila",255
"Polystyrenella longa",247
"Rubinisphaera brasiliensis",691
"Symmachiella dynata",1069
"Thalassoglobus polymorphus",204
"Acidithiobacillus caldus",407
"Acidithiobacillus ferriphilus",89
"Acidithiobacillus ferrivorans",411
"Acidithiobacillus ferrooxidans",556
"Acidithiobacillus thiooxidans",52
"Asticcacaulis excentricus",1046
"Asticcacaulis sp. AND118",867
"Brevundimonas diminuta",1622
"Brevundimonas goettingensis",1617
"Brevundimonas mediterranea",984
"Brevundimonas naejangsanensis",2108
"Brevundimonas nasdae",1383
"Brevundimonas pondensis",1236
"Brevundimonas sp. 'scallop'",797
"Brevundimonas sp. AJA228-03",1117
"Brevundimonas sp. Bb-A",571
"Brevundimonas sp. CS1",564
"Brevundimonas sp. DS20",771
"Brevundimonas sp. GW460-12-10-14-LB2",670
"Brevundimonas sp. LM2",1301
"Brevundimonas sp. M20",1661
"Brevundimonas sp. MF30-B",1120
"Brevundimonas sp. PAMC22021",1130
"Brevundimonas sp. SGAir0440",699
"Brevundimonas subvibrioides",1214
"Brevundimonas vancanneytii",791
"Brevundimonas vesicularis",859
"Brevundimonas vitisensis",914
"Caulobacter flavus",2935
"Caulobacter henricii",1536
"Caulobacter mirabilis",3692
"Caulobacter rhizosphaerae",4332
"Caulobacter segnis",5285
"Caulobacter soli",3867
"Caulobacter sp. FWC26",2466
"Caulobacter sp. S6",4237
"Caulobacter vibrioides",3598
"Phenylobacterium parvum",2267
"Phenylobacterium zucineum",8172
"Terricaulis silvestris",3469
"Candidatus Puniceispirillum marinum",21
"Luteithermobacter gelatinilyticus",372
"Micavibrio aeruginosavorus",409
"Paremcibacter congregatus",309
"Aurantimonas sp. HBX-1",4475
"Aureimonas altamirensis",1795
"Aureimonas mangrovi",2477
"Aureimonas populi",2476
"Aureimonas sp. AU20",2726
"Aureimonas sp. OT7",3798
"Aureimonas sp. SA4125",3506
"Martelella endophytica",1634
"Martelella lutilitoris",1424
"Martelella mediterranea",2401
"Martelella sp. AD-3",3552
"Nordella sp. HKS 07",8216
"Pseudorhodoplanes sinuspersici",13068
"Terrihabitans soli",2588
"Bartonella apis",411
"Bartonella sp. HY038",36
"Beijerinckia indica",1479
"Methylocella silvestris",3271
"Methylocella tundrae",3157
"Methylovirgula ligni",2876
"Methylovirgula sp. HY1",2311
"Blastochloris tepida",6986
"Blastochloris viridis",5701
"Bosea sp. ANAM02",5197
"Bosea sp. AS-1",4912
"Bosea sp. F3-2",7072
"Bosea sp. PAMC 26642",4885
"Bosea sp. RAC05",5893
"Bosea sp. Tri-49",6213
"Bosea vaviloviae",5627
"Afipia carboxidovorans",5886
"Afipia sp. GAS231",24020
"Bradyrhizobium amphicarpaeae",7196
"Bradyrhizobium arachidis",15478
"Bradyrhizobium betae",8788
"Bradyrhizobium canariense",74811
"Bradyrhizobium cosmicum",11614
"Bradyrhizobium daqingense",8038
"Bradyrhizobium diazoefficiens",102724
"Bradyrhizobium elkanii",21854
"Bradyrhizobium erythrophlei",180111
"Bradyrhizobium genosp. B",11366
"Bradyrhizobium genosp. L",22417
"Bradyrhizobium guangdongense",11602
"Bradyrhizobium guangxiense",10150
"Bradyrhizobium guangzhouense",11524
"Bradyrhizobium icense",122262
"Bradyrhizobium japonicum",37898
"Bradyrhizobium lablabi",98117
"Bradyrhizobium oligotrophicum",13538
"Bradyrhizobium ottawaense",38886
"Bradyrhizobium paxllaeri",105413
"Bradyrhizobium quebecense",17819
"Bradyrhizobium septentrionale",19144
"Bradyrhizobium sp.",24738
"Bradyrhizobium sp. 1(2017)",13987
"Bradyrhizobium sp. 144S4",23521
"Bradyrhizobium sp. 323S2",16281
"Bradyrhizobium sp. 41S5",16340
"Bradyrhizobium sp. 6(2017)",27029
"Bradyrhizobium sp. A19",19797
"Bradyrhizobium sp. BTAi1",19412
"Bradyrhizobium sp. CCBAU 051011",159239
"Bradyrhizobium sp. CCBAU 21365",1927
"Bradyrhizobium sp. CCBAU 51753",40149
"Bradyrhizobium sp. CCBAU 51765",12764
"Bradyrhizobium sp. CCBAU 53338",15419
"Bradyrhizobium sp. CCBAU 53340",15020
"Bradyrhizobium sp. CCBAU 53351",14063
"Bradyrhizobium sp. CCBAU 53421",20677
"Bradyrhizobium sp. CCGE-LA001",9299
"Bradyrhizobium sp. I71",13123
"Bradyrhizobium sp. LCT2",9448
"Bradyrhizobium sp. ORS 278",18076
"Bradyrhizobium sp. ORS 285",17593
"Bradyrhizobium sp. S2-11-2",48204
"Bradyrhizobium sp. S2-11-4",41723
"Bradyrhizobium sp. S2-20-1",47063
"Bradyrhizobium sp. SG09",7409
"Bradyrhizobium sp. SK17",28962
"Bradyrhizobium sp. TM102",6018
"Bradyrhizobium symbiodeficiens",12398
"Bradyrhizobium vignae",11313
"Bradyrhizobium zhanjiangense",13276
"Nitrobacter hamburgensis",13755
"Nitrobacter winogradskyi",5734
"Rhodopseudomonas boonkerdii",5187
"Rhodopseudomonas palustris",34048
"Rhodopseudomonas sp. SK50-23",5223
"Tardiphaga robiniae",5259
"Tardiphaga sp. 37S4",5009
"Tardiphaga sp. vice154",2826
"Tardiphaga sp. vice278",6621
"Tardiphaga sp. vice304",1736
"Variibacter gotjawalensis",8354
"Breoghania sp. L-A4",3665
"Brucella [Ochrobactrum] quorumnocens",572
"Brucella anthropi",2566
"Brucella intermedia",1003
"Brucella pituitosa",331
"Brucella pseudogrignonensis",1163
"Brucella sp. BTU1",526
"Pseudochrobactrum algeriensis",95
"Pseudochrobactrum sp. Wa41.01b-1",156
"Pseudochrobactrum sp. XF203",230
"Chelatococcus daeguensis",3866
"Chelatococcus sp. CO-6",6217
"Cohaesibacter sp. ES.047",757
"Devosia beringensis",1905
"Devosia ginsengisoli",2204
"Devosia oryziradicis",1892
"Devosia rhizoryzae",1392
"Devosia salina",2099
"Devosia sp. 1566",1634
"Devosia sp. A16",5533
"Devosia sp. I507",1717
"Devosia sp. JXJ CY 41",2154
"Devosia sp. MC521",813
"Devosia sp. SL43",2596
"Maritalea myrionectae",288
"Paradevosia shaoguanensis",3059
"Pelagibacterium halotolerans",1534
"Youhaiella tibetensis",2501
"Aquabacter sp. L1I39",3479
"Caenibius sp. WL",707
"Caenibius tardaugens",1705
"Filomicrobium Candidatus Filomicrobium marinum",1491
"Hyphomicrobium denitrificans",7950
"Hyphomicrobium nitrativorans",5114
"Hyphomicrobium sp. MC1",3702
"Methyloceanibacter caenitepidi",5421
"Methyloceanibacter sp. wino2",5833
"Methyloligella sp. GL2",8009
"Rhodomicrobium vannielii",3095
"Rhodoplanes sp. Z2-YC6860",55103
"Kaistia sp. 32K",6328
"Lichenihabitans psoromatis",1966
"Lichenihabitans sp. PAMC28606",1773
"Methylobacterium aquaticum",7179
"Methylobacterium brachiatum",3865
"Methylobacterium currus",4600
"Methylobacterium durans",4753
"Methylobacterium indicum",2961
"Methylobacterium mesophilicum",3001
"Methylobacterium nodulans",7220
"Methylobacterium organophilum",4844
"Methylobacterium oryzae",5055
"Methylobacterium phyllosphaerae",1968
"Methylobacterium radiodurans",3883
"Methylobacterium radiotolerans",4774
"Methylobacterium sp. 17Sr1-1",3172
"Methylobacterium sp. C1",2881
"Methylobacterium sp. WL1",3121
"Methylobacterium sp. XJLW",3562
"Methylobacterium terrae",3372
"Methylorubrum extorquens",10589
"Methylorubrum populi",6548
"Methylorubrum sp. B1-46",2483
"Methylorubrum zatmanii",855
"Microvirga ossetica",19472
"Microvirga sp. 17 mud 1-3",3556
"Microvirga sp. VF16",6418
"Microvirga thermotolerans",4826
"Methylocystis bryophila",2759
"Methylocystis heyeri",2712
"Methylocystis parvus",2812
"Methylocystis rosea",3630
"Methylocystis sp. SB2",1606
"Methylocystis sp. SC2",2001
"Methylosinus sp. C49",3214
"Methylosinus trichosporium",3717
"Candidatus Phaeomarinobacter ectocarpi",721
"Kaustia mangrovi",5282
"Parvibaculum lavamentivorans",5567
"Pyruvatibacter mobilis",1675
"Phreatobacter cathodiphilus",6789
"Phreatobacter sp. NMCR1094",4975
"Phreatobacter stygius",7527
"Aminobacter aminovorans",1514
"Aminobacter sp. MDW-2",6192
"Aminobacter sp. MSH1",7251
"Aminobacter sp. SR38",8489
"Aquibium microcysteis",5967
"Aquibium oceanicum",4877
"Hoeflea phototrophica",1308
"Hoeflea sp. IMCC20628",1441
"Mesorhizobium amorphae",6348
"Mesorhizobium australicum",2441
"Mesorhizobium ciceri",5331
"Mesorhizobium erdmanii",2559
"Mesorhizobium huakuii",6117
"Mesorhizobium japonicum",3486
"Mesorhizobium loti",8703
"Mesorhizobium opportunistum",2904
"Mesorhizobium sp. 113-1-2",3775
"Mesorhizobium sp. 113-3-3",3438
"Mesorhizobium sp. 113-3-9",2755
"Mesorhizobium sp. 131-2-1",6639
"Mesorhizobium sp. 131-2-5",1929
"Mesorhizobium sp. 131-3-5",2666
"Mesorhizobium sp. 8",5891
"Mesorhizobium sp. AA22",3892
"Mesorhizobium sp. B1-1-8",4518
"Mesorhizobium sp. B2-1-1",4503
"Mesorhizobium sp. B2-1-8",3209
"Mesorhizobium sp. B2-8-5",3915
"Mesorhizobium sp. B4-1-4",3222
"Mesorhizobium sp. DCY119",5909
"Mesorhizobium sp. INR15",5347
"Mesorhizobium sp. J8",3898
"Mesorhizobium sp. L-2-11",5933
"Mesorhizobium sp. L-8-10",7492
"Mesorhizobium sp. L-8-3",7092
"Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1",3867
"Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1",5055
"Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1",5456
"Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1",5773
"Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1",3496
"Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1",3035
"Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1",3887
"Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1",4568
"Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1",4905
"Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1",5337
"Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1",3143
"Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1",4985
"Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1",3330
"Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2",6345
"Mesorhizobium sp. NBSH29",2139
"Mesorhizobium sp. NZP2077",4610
"Mesorhizobium sp. NZP2234",1311
"Mesorhizobium sp. NZP2298",2608
"Mesorhizobium sp. PAMC28654",5031
"Mesorhizobium sp. Pch-S",4053
"Mesorhizobium sp. WSM1497",2458
"Mesorhizobium terrae",4725
"Nitratireductor kimnyeongensis",1215
"Nitratireductor sp. OM-1",1827
"Nitratireductor sp. SY7",3861
"Oricola thermophila",2237
"Phyllobacterium sp. 628",1092
"Phyllobacterium sp. T1018",1942
"Phyllobacterium sp. T1293",919
"Phyllobacterium zundukense",3610
"Roseitalea porphyridii",2703
"Salaquimonas pukyongi",981
"Hartmannibacter diazotrophicus",3597
"Agrobacterium fabacearum",267
"Agrobacterium fabrum",1342
"Agrobacterium larrymoorei",928
"Agrobacterium rhizogenes",2148
"Agrobacterium rubi",1154
"Agrobacterium salinitolerans",655
"Agrobacterium sp. CGMCC 11546",334
"Agrobacterium sp. MA01",646
"Agrobacterium sp. RAC06",777
"Agrobacterium sp. T29",503
"Agrobacterium tumefaciens",9791
"Agrobacterium vaccinii",1360
"Agrobacterium vitis",3531
"Ciceribacter thiooxidans",2020
"Ensifer adhaerens",8892
"Ensifer alkalisoli",2441
"Ensifer mexicanus",3189
"Ensifer sojae",2701
"Ensifer sp. PDNC004",2165
"Ensifer sp. T173",3010
"Georhizobium profundi",2180
"Neorhizobium galegae",5505
"Neorhizobium sp. NCHU2750",1855
"Neorhizobium sp. SOG26",1468
"Peteryoungia desertarenae",732
"Pseudorhizobium banfieldiae",1463
"Pseudorhizobium flavum",1605
"Rhizobium acidisoli",937
"Rhizobium bangladeshense",1664
"Rhizobium binae",1409
"Rhizobium daejeonense",1698
"Rhizobium etli",5308
"Rhizobium gallicum",3571
"Rhizobium hidalgonense",838
"Rhizobium indicum",1869
"Rhizobium jaguaris",2735
"Rhizobium laguerreae",703
"Rhizobium leguminosarum",21837
"Rhizobium lentis",1531
"Rhizobium oryzihabitans",1118
"Rhizobium phaseoli",4267
"Rhizobium pseudoryzae",1914
"Rhizobium pusense",3720
"Rhizobium rhizoryzae",1225
"Rhizobium rosettiformans",1834
"Rhizobium ruizarguesonis",5406
"Rhizobium sp. 007",2231
"Rhizobium sp. 11515TR",1555
"Rhizobium sp. AB2/73",2246
"Rhizobium sp. ACO-34A",1681
"Rhizobium sp. B230/85",2215
"Rhizobium sp. BG4",2532
"Rhizobium sp. C104",1585
"Rhizobium sp. CCGE531",700
"Rhizobium sp. CIAT894",1476
"Rhizobium sp. IE4771",888
"Rhizobium sp. K102",1314
"Rhizobium sp. Kim5",1156
"Rhizobium sp. L51/94",2272
"Rhizobium sp. NIBRBAC000502774",273
"Rhizobium sp. NLR16a",1347
"Rhizobium sp. NXC14",1411
"Rhizobium sp. NXC24",2066
"Rhizobium sp. NZLR1",1604
"Rhizobium sp. SL42",1634
"Rhizobium sp. T136",1584
"Rhizobium sp. TAL182",1083
"Rhizobium sp. WL3",1572
"Rhizobium sp. WYJ-E13",2521
"Rhizobium sp. X9",1667
"Rhizobium sp. Y9",192
"Rhizobium sp. ZX09",148
"Rhizobium tropici",1615
"Shinella sp. H4-D48",1553
"Shinella sp. HZN7",4971
"Shinella sp. PSBB067",3832
"Shinella sp. XGS7",4380
"Shinella zoogloeoides",3395
"Sinorhizobium americanum",2671
"Sinorhizobium fredii",12544
"Sinorhizobium medicae",1837
"Sinorhizobium meliloti",6249
"Sinorhizobium sp. BG8",2255
"Sinorhizobium sp. CCBAU 05631",1052
"Labrenzia sp. PHM005",724
"Labrenzia sp. THAF82",704
"Labrenzia sp. VG12",1563
"Pannonibacter phragmitetus",6343
"Pseudovibrio brasiliensis",247
"Pseudovibrio sp. FO-BEG1",344
"Roseibium aggregatum",3169
"Roseibium alexandrii",806
"Stappia indica",4584
"Stappia sp. ES.058",2393
"Ancylobacter pratisalsi",3891
"Ancylobacter sp. TS-1",5601
"Azorhizobium caulinodans",4276
"Labrys sp. KNU-23",4595
"Pseudolabrys sp. FHR47",18011
"Pseudolabrys taiwanensis",26844
"Starkeya novella",6834
"Starkeya sp. ORNL1",7829
"Xanthobacter autotrophicus",3276
"Xanthobacter dioxanivorans",8076
"Xanthobacter sp. YC-JY1",3103
"Candidatus Viadribacter manganicus",1615
"Hyphomonas neptunium",657
"Hyphomonas sp. CACIAM 19H1",667
"Hyphomonas sp. KY3",459
"Hyphomonas sp. Mor2",376
"Magnetococcus marinus",118
"Glycocaulis alkaliphilus",603
"Hyphobacterium sp. CCMP332",483
"Maricaulis maris",639
"Marinicauda algicola",2128
"Aquisalinus flavus",658
"Parvularcula bermudensis",465
"Aestuarium zhoushanense",401
"Brevirhabdus pacifica",1895
"Cereibacter azotoformans",2472
"Cereibacter sphaeroides",5457
"Cognatishimia activa",240
"Falsirhodobacter sp. PG104",839
"Frigidibacter mobilis",2634
"Fuscovulum blasticum",992
"Gemmobacter aquarius",1232
"Haematobacter massiliensis",2223
"Monaibacterium sp. ALG8",1018
"Pacificitalea manganoxidans",816
"Paracoccus aminophilus",905
"Paracoccus aminovorans",1523
"Paracoccus contaminans",1377
"Paracoccus denitrificans",1810
"Paracoccus jeotgali",1360
"Paracoccus kondratievae",679
"Paracoccus liaowanqingii",1309
"Paracoccus marcusii",679
"Paracoccus mutanolyticus",901
"Paracoccus pantotrophus",1760
"Paracoccus sanguinis",2756
"Paracoccus sp. AK26",998
"Paracoccus sp. Arc7-R13",827
"Paracoccus sp. H4-D09",895
"Paracoccus sp. MA",1515
"Paracoccus sp. MC1862",1688
"Paracoccus sp. S8-55",689
"Paracoccus suum",1495
"Paracoccus tegillarcae",684
"Paracoccus yeei",4257
"Paracoccus zhejiangensis",1669
"Parasedimentitalea marina",251
"Paroceanicella profunda",4947
"Pelagovum pacificum",1740
"Pikeienuella piscinae",2664
"Planktomarina temperata",126
"Polymorphum gilvum",3797
"Pontivivens ytuae",2402
"Profundibacter amoris",355
"Pseudohalocynthiibacter aestuariivivens",513
"Pseudooceanicola algae",702
"Pseudopuniceibacterium antarcticum",789
"Pseudorhodobacter turbinis",312
"Pukyongiella litopenaei",1570
"Qingshengfaniella alkalisoli",526
"Rhodobaca barguzinensis",363
"Rhodobacter capsulatus",1814
"Rhodobacter sp. CZR27",2687
"Rhodobacter sp. LPB0142",2872
"Rhodobacter sp. N10",1755
